BEST_BINDING_ENERGY;BEST_REFERENCE_RMSD;BEST_RUN;LIGAND_FILE;PROCESS_ID;RECEPTOR_REC;TYPE
-9.13;98.74;11;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1cjb_a.pdb;falciparum
-6.21;99.86;20;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1cjb_a.pdb;falciparum
-11.42;98.74;16;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1cjb_a.pdb;falciparum
-10.05;98.23;16;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1cjb_a.pdb;falciparum
-7.53;100.46;19;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1cjb_a.pdb;falciparum
-8.19;92.38;12;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1g1g_a.pdb;falciparum
-7.58;92.7;16;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1g1g_a.pdb;falciparum
-10.34;92.06;11;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1g1g_a.pdb;falciparum
-10.37;92.71;8;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1g1g_a.pdb;falciparum
-7.31;93.85;5;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1g1g_a.pdb;falciparum
-7.68;47.55;16;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1lf2_a.pdb;falciparum
-6.47;46.25;1;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1lf2_a.pdb;falciparum
-8.36;47.29;13;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1lf2_a.pdb;falciparum
-7.64;46.94;10;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1lf2_a.pdb;falciparum
-5.8;48.63;20;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1lf2_a.pdb;falciparum
-7.54;19.5;5;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1lyx_a.pdb;falciparum
-4.67;19.91;2;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;1lyx_a.pdb;falciparum
